candle_begin_time_GMT8,open,high,low,close,volume,quote_volume,num,initiative_vol,initiative_quote_vol,signal,strategy_name,para,time_interval,offset_time,account_name,symbol
2021-12-12 23:55:00,3.5476,3.5643,3.5224,3.5287,441276.0,1563495.3645,3999.0,233341.0,826957.3708000001,,real_signal_none,[20],15m,15m,son3,MANAUSD_PERP
2021-12-13 00:10:00,3.528,3.5284,3.4939999999999998,3.5067,906856.0,3182372.5114,6660.0,331488.0,1163419.2681999998,,real_signal_none,[20],15m,15m,son3,MANAUSD_PERP
2021-12-13 00:25:00,3.5066,3.5396,3.5063,3.5388,369812.0,1301489.4419,2786.0,192778.0,678468.225,,real_signal_none,[20],15m,15m,son3,MANAUSD_PERP
2021-12-13 00:40:00,3.5388,3.5388,3.509,3.5183,440469.0,1550495.5462999996,2753.0,193701.0,681719.6794,,real_signal_none,[20],15m,15m,son3,MANAUSD_PERP
2021-12-13 00:55:00,3.5183,3.5733,3.515,3.5557,738513.0,2620341.9076,6099.0,399021.0,1415857.7259,,real_signal_none,[20],15m,15m,son3,MANAUSD_PERP
2021-12-13 01:10:00,3.5541,3.6016,3.5502,3.5746,884678.0,3166993.5354,7636.0,462142.0,1654709.4141,,real_signal_none,[20],15m,15m,son3,MANAUSD_PERP
2021-12-13 01:25:00,3.5731,3.5806,3.5327,3.5632,531953.0,1891389.3918,4822.0,221424.0,787539.1913000002,,real_signal_none,[20],15m,15m,son3,MANAUSD_PERP
2021-12-13 01:40:00,3.5628,3.5861,3.556,3.5826,301544.0,1076956.2707,3051.0,151784.0,542073.6277999999,,real_signal_none,[20],15m,15m,son3,MANAUSD_PERP
2021-12-13 01:55:00,3.5828,3.6071,3.573,3.6026,585096.0,2101604.7719,4763.0,395774.0,1422031.9655,,real_signal_none,[20],15m,15m,son3,MANAUSD_PERP
2021-12-13 02:10:00,3.6032,3.635,3.6011,3.6213,849032.0,3072982.3714,11697.0,403196.0,1459531.2427,,real_signal_none,[20],15m,15m,son3,MANAUSD_PERP
2021-12-13 02:25:00,3.6214,3.6277,3.6089,3.6233,421070.0,1523838.8893,3322.0,206980.0,749115.0873,,real_signal_none,[20],15m,15m,son3,MANAUSD_PERP
2021-12-13 02:40:00,3.6234,3.6292,3.603,3.6149,314018.0,1135265.7934,2933.0,117057.0,423303.1346,,real_signal_none,[20],15m,15m,son3,MANAUSD_PERP
2021-12-13 02:55:00,3.6134,3.6253,3.6111,3.6206,272176.0,985014.1592,2646.0,134302.0,486074.0257,,real_signal_none,[20],15m,15m,son3,MANAUSD_PERP
2021-12-13 03:10:00,3.6207,3.6249,3.6078,3.6147,292099.0,1056475.84,2264.0,149667.0,541266.5795,,real_signal_none,[20],15m,15m,son3,MANAUSD_PERP
2021-12-13 03:25:00,3.6146,3.6179,3.5984,3.6074,320639.0,1157478.9682,2990.0,151810.0,548149.8592999999,,real_signal_none,[20],15m,15m,son3,MANAUSD_PERP
2021-12-13 03:40:00,3.6081,3.614,3.5934,3.6085,351085.0,1265703.0683,3082.0,160864.0,579944.2961,,real_signal_none,[20],15m,15m,son3,MANAUSD_PERP
2021-12-13 03:55:00,3.6088,3.639,3.6055,3.6374,465620.0,1686278.7857,4199.0,275614.0,998149.3628,,real_signal_none,[20],15m,15m,son3,MANAUSD_PERP
2021-12-13 04:10:00,3.6374,3.6762,3.6283,3.6556,1110239.0,4060113.7295,15468.0,600445.0,2195896.0573,,real_signal_none,[20],15m,15m,son3,MANAUSD_PERP
2021-12-13 04:25:00,3.6556,3.6719999999999997,3.648,3.6519999999999997,409710.0,1499343.5976,3309.0,189452.0,693404.3550999999,,real_signal_none,[20],15m,15m,son3,MANAUSD_PERP
2021-12-13 04:40:00,3.6521,3.6554,3.6336,3.6485,365543.0,1331616.6915,3241.0,177708.0,647370.4242,,real_signal_none,[20],15m,15m,son3,MANAUSD_PERP
2021-12-13 04:55:00,3.6497,3.6537,3.6338,3.64,214479.0,780914.5249,2158.0,79193.0,288406.2386,,real_signal_none,[20],15m,15m,son3,MANAUSD_PERP
2021-12-13 05:10:00,3.6398,3.6617,3.6317,3.6387,306545.0,1117679.0158,2976.0,170485.0,621632.5852000001,,real_signal_none,[20],15m,15m,son3,MANAUSD_PERP
2021-12-13 05:25:00,3.6387,3.6416,3.6127,3.6237,247797.0,898848.3165,3132.0,108524.0,393551.4691,,real_signal_none,[20],15m,15m,son3,MANAUSD_PERP
2021-12-13 05:40:00,3.6239,3.6283,3.5972,3.6084,393188.0,1421139.2243,3855.0,165934.0,600022.3084,,real_signal_none,[20],15m,15m,son3,MANAUSD_PERP
2021-12-13 05:55:00,3.6073,3.6219,3.6010000000000004,3.6081,248858.0,898934.4387,2417.0,94103.0,339987.5824,,real_signal_none,[20],15m,15m,son3,MANAUSD_PERP
2021-12-13 06:10:00,3.6079,3.6203,3.6054,3.6159,202817.0,732739.4181,1778.0,103933.0,375585.3071,,real_signal_none,[20],15m,15m,son3,MANAUSD_PERP
2021-12-13 06:25:00,3.6159,3.6210000000000004,3.6088,3.6098,133125.0,481133.8338,1315.0,66439.0,240160.0383,,real_signal_none,[20],15m,15m,son3,MANAUSD_PERP
2021-12-13 06:40:00,3.6096,3.6278,3.6092,3.6249,157282.0,569336.4238999999,1505.0,73124.0,264705.2184,,real_signal_none,[20],15m,15m,son3,MANAUSD_PERP
2021-12-13 06:55:00,3.6251,3.6466,3.6171,3.6396,251865.0,914601.4006,2472.0,124502.0,452006.4788,,real_signal_none,[20],15m,15m,son3,MANAUSD_PERP
2021-12-13 07:10:00,3.6395,3.6688,3.6395,3.656,609722.0,2226928.9438,4743.0,292681.0,1069083.0916,,real_signal_none,[20],15m,15m,son3,MANAUSD_PERP
2021-12-13 07:25:00,3.6559,3.6759,3.6235,3.6294,542855.0,1982212.4519,5196.0,236077.0,862592.1454,,real_signal_none,[20],15m,15m,son3,MANAUSD_PERP
2021-12-13 07:40:00,3.6299,3.6532,3.6248,3.6295,804817.0,2927967.0827,3937.0,316582.0,1151774.0565,,real_signal_none,[20],15m,15m,son3,MANAUSD_PERP
2021-12-13 07:55:00,3.63,3.6919999999999997,3.6193,3.6825,863551.0,3159650.708,9467.0,427418.0,1565280.8766,,real_signal_none,[20],15m,15m,son3,MANAUSD_PERP
2021-12-13 08:10:00,3.6813,3.6937,3.6422,3.6426,713369.0,2620842.6912,6680.0,363090.0,1334232.5066,,real_signal_none,[20],15m,15m,son3,MANAUSD_PERP
2021-12-13 08:25:00,3.6435,3.6435,3.5844,3.5914,848580.0,3067756.5409,8783.0,394729.0,1426997.2699000004,,real_signal_none,[20],15m,15m,son3,MANAUSD_PERP
2021-12-13 08:40:00,3.5925,3.6085,3.5601,3.5609,707567.0,2536143.6251,7307.0,352539.0,1264051.4796,,real_signal_none,[20],15m,15m,son3,MANAUSD_PERP
2021-12-13 08:55:00,3.5610000000000004,3.5697,3.5217,3.5223,867090.0,3074807.9684,10540.0,382798.0,1357753.4162,,real_signal_none,[20],15m,15m,son3,MANAUSD_PERP
2021-12-13 09:10:00,3.5222,3.5363,3.4949,3.5275,1148945.0,4035528.7536,10763.0,530563.0,1864547.2075,,real_signal_none,[20],15m,15m,son3,MANAUSD_PERP
2021-12-13 09:25:00,3.528,3.5335,3.4851,3.5031,716128.0,2509098.1972000003,6184.0,359755.0,1259580.9904,,real_signal_none,[20],15m,15m,son3,MANAUSD_PERP
2021-12-13 09:40:00,3.503,3.503,3.4486,3.449,877385.0,3050583.2193,8828.0,425592.0,1480483.7985,,real_signal_none,[20],15m,15m,son3,MANAUSD_PERP
2021-12-13 09:55:00,3.449,3.4779,3.4327,3.469,882810.0,3049405.519000001,7936.0,461775.0,1595067.3384999996,,real_signal_none,[20],15m,15m,son3,MANAUSD_PERP
2021-12-13 10:10:00,3.4696,3.477,3.4513,3.4653,318675.0,1104221.5092,2991.0,189721.0,657535.0268999999,,real_signal_none,[20],15m,15m,son3,MANAUSD_PERP
2021-12-13 10:25:00,3.4647,3.4676,3.4407,3.4616,392518.0,1356083.5953,2848.0,204246.0,705676.4342,,real_signal_none,[20],15m,15m,son3,MANAUSD_PERP
2021-12-13 10:40:00,3.4617,3.4849,3.4568,3.4844,271597.0,942295.9036,2359.0,151760.0,526639.2089,,real_signal_none,[20],15m,15m,son3,MANAUSD_PERP
2021-12-13 10:55:00,3.4844,3.4938,3.4659,3.4921,263838.0,918668.8357,2960.0,110532.0,384941.3388,,real_signal_none,[20],15m,15m,son3,MANAUSD_PERP
2021-12-13 11:10:00,3.4928,3.5092,3.4831,3.5077,232422.0,812929.2255,2620.0,106049.0,370904.61750000005,,real_signal_none,[20],15m,15m,son3,MANAUSD_PERP
2021-12-13 11:25:00,3.5079,3.5243,3.4934,3.5167,292526.0,1026849.5428,2721.0,148280.0,520634.2822,,real_signal_none,[20],15m,15m,son3,MANAUSD_PERP
2021-12-13 11:40:00,3.5169,3.5266,3.5021,3.5163,283822.0,997497.1551,2236.0,159858.0,561822.8960000001,,real_signal_none,[20],15m,15m,son3,MANAUSD_PERP
2021-12-13 11:55:00,3.5159,3.5159,3.4746,3.4809,257469.0,898062.0829,2775.0,107521.0,375205.7015,,real_signal_none,[20],15m,15m,son3,MANAUSD_PERP
2021-12-13 12:10:00,3.4810000000000003,3.4999,3.4755,3.49,187648.0,654511.111,1565.0,97714.0,340801.6041,,real_signal_none,[20],15m,15m,son3,MANAUSD_PERP
2021-12-13 12:25:00,3.4887,3.4989,3.4761,3.4957,180200.0,628275.6006,1579.0,103825.0,361977.0263,,real_signal_none,[20],15m,15m,son3,MANAUSD_PERP
2021-12-13 12:40:00,3.4941,3.4987,3.4751,3.484,204299.0,712152.4087,1492.0,85523.0,298130.0317,,real_signal_none,[20],15m,15m,son3,MANAUSD_PERP
2021-12-13 12:55:00,3.4839,3.4919,3.475,3.4894,255948.0,891045.6697,1627.0,129986.0,452695.2721,,real_signal_none,[20],15m,15m,son3,MANAUSD_PERP
2021-12-13 13:10:00,3.4905,3.4905,3.4718,3.4751,167811.0,584116.0315,1380.0,82618.0,287595.8326,,real_signal_none,[20],15m,15m,son3,MANAUSD_PERP
2021-12-13 13:25:00,3.4752,3.4759,3.4514,3.4627,310695.0,1075846.6741,2913.0,146524.0,507275.9919,,real_signal_none,[20],15m,15m,son3,MANAUSD_PERP
2021-12-13 13:40:00,3.4634,3.4928,3.4596,3.4868,357251.0,1242544.6918,2610.0,202114.0,702971.7874,,real_signal_none,[20],15m,15m,son3,MANAUSD_PERP
2021-12-13 13:55:00,3.4869,3.49,3.4774,3.4783,181566.0,632383.7725,1374.0,86601.0,301591.3099,,real_signal_none,[20],15m,15m,son3,MANAUSD_PERP
2021-12-13 14:10:00,3.4782,3.4821,3.46,3.4642,210894.0,732067.7228999998,1579.0,119287.0,414134.2821,,real_signal_none,[20],15m,15m,son3,MANAUSD_PERP
2021-12-13 14:25:00,3.4646,3.4705,3.4196,3.4385,786574.0,2702823.7876,5758.0,308290.0,1059529.2406,,real_signal_none,[20],15m,15m,son3,MANAUSD_PERP
2021-12-13 14:40:00,3.4383,3.4443,3.412,3.4153,317648.0,1088783.0107999998,2412.0,151624.0,519844.2761,,real_signal_none,[20],15m,15m,son3,MANAUSD_PERP
